Version;Date;Description;VLAB_issue;Input_Change?;Type;Category;Sub_Category
3.30.11.00;2018-03-28;improve treatment of biasadjustment when transitioning into MCMC, include MCMC_bump read from starter.ss;;Cond;revise;MCMC;
3.30.11.00;2018-03-28;add output of selected estimated survey values to sdreport and show in ss_summary.sso;;No;revise;MCMC;
3.30.11.00;2018-03-28;add output of ln(SPB) for 3 years to sdreport and show in ss_summary.sso;;No;revise;MCMC;
3.30.10.02;2018-02-02;fix problem with super year in generalized size comp;;No;fix;various;
3.30.10.02;2018-02-02;"break SS_write.tpl into SS_write, SS_write_report and SS_write_ssnew";;No;misc;various;
3.30.10.02;2018-02-02; clean-up the cout's at end of run;;No;misc;various;
3.30.10.01;2018-01-25;"fix logic error in calculation of settlement age in 2 season, 2 settlement setup";;No;new;read;
3.30.10.00;2017-11-27;provide controls for bycatch fleets;;Yes;new;fleets;
3.30.10.00;2017-11-27;provide benchmark and forecast option to use F0.1, this is either/or with F(Btgt);;No;new;forecast;
3.30.10.00;2017-11-27;clarify internal usage and output for SSB_virgin vs SSB_unfished (benchmark), add description to manual;;No;new;forecast;
3.30.10.00;2018-01-09;clarify output in forecast-report.sso and SPR/YPR profile;;No;new;forecast;
3.30.09.00;2017-11-17;provide controls for extrapolating 2D_AR selectivity outside of year range of the devs;;Yes;new;selectivity;
3.30.09.00;2017-11-20;"provide controls for adjusting forecast recruitments, includes recent mean and multiplier on R0 and others";;Yes;new;forecast;
3.30.08.04;2017-11-06;fix forecast recruitment error when spawn_month>1;;No;fix;forecast;
3.30.08.04;2017-11-07;"after biasadjustment ramp is calculated, set biasadjustment to 0.0 for years after recdev_end";;No;new;recruitment;
3.30.08.04;2017-11-07;improve some warnings and adjust array dimensions to allow very long forecasts;;No;revise;various;
3.30.08.03;2017-09-29;fix sometimes fatal error in writing to the new summary output file:  ss_summary.sso;;No;fix;output;
3.30.08.02;2017-09-11;test and confirm that rebuilder output is correct,  it was not fully correct in version 3.30.04.02;;No;fix;rebuild;
3.30.08.02;2017-09-11;fix range of years output of environmental data in data.ss_new;;No;fix;data_generator;
3.30.08.02;2017-09-11;add info on selectivity and catchability options to control.ss_new;;No;new;selectivity;
3.30.08.01;2017-08-29;"fix code that still needed fishing fleets before survey fleets, however tag parameters still need fishing fleets first.  That will be addressed soon.\nThis fix creates a conditional I/O change in forecast.ss:\n# Conditional input if relative F choice = 2\n# enter list of:  season,  fleet, relF, if used, terminate with season=-9999\n1 1 1\n-9999 0 0  # terminator for list of relF";;No;fix;fleets;
3.30.07.02;2017-08-15;repair age-specific K, fix growth problem if settlement age >0;;No;fix;growth;
